date,count
2022-04-25 15:26:00,2887.0972900390498
2022-04-25 15:27:00,2888.04772949215
2022-04-25 15:28:00,2886.6226806640498
2022-04-25 15:29:00,2883.8643798827998
2022-04-25 15:30:00,2882.4549560547002
2022-04-25 15:31:00,2879.478332519525
2022-04-25 15:32:00,2880.2301025390498
2022-04-25 15:33:00,2878.96643066405
2022-04-25 15:34:00,2880.93646240235
2022-04-25 15:35:00,2885.40209960935
2022-04-25 15:36:00,2887.3404541015498
2022-04-25 15:37:00,2884.012695312525
2022-04-25 15:38:00,2883.146240234375
2022-04-25 15:39:00,2881.15869140625
2022-04-25 15:40:00,2881.7894897461
2022-04-25 15:41:00,2879.6524658202998
2022-04-25 15:42:00,2878.378051757775
2022-04-25 15:43:00,2878.912780761725
2022-04-25 15:44:00,2878.7493896484502
2022-04-25 15:45:00,2875.17761230465
2022-04-25 15:46:00,2872.0999755859
2022-04-25 15:47:00,2871.0619506836
2022-04-25 15:48:00,2869.779541015625
2022-04-25 15:49:00,2868.8258056640752
2022-04-25 15:50:00,2868.3507690429997
2022-04-25 15:51:00,2868.641174316425
2022-04-25 15:52:00,2868.070922851575
2022-04-25 15:53:00,2866.6745605469005
2022-04-25 15:54:00,2867.594299316425
2022-04-25 15:55:00,2868.3453979491997
2022-04-25 15:56:00,2869.1170654297002
2022-04-25 15:57:00,2870.5657958984248
2022-04-25 15:58:00,2869.5650634765498
2022-04-25 15:59:00,2869.44232177735
2022-04-25 16:00:00,2868.81103515625
2022-04-25 16:01:00,2869.0883178711
2022-04-25 16:02:00,2869.9862670898247
2022-04-25 16:03:00,2869.9097900391
2022-04-25 16:04:00,2869.92956542965
2022-04-25 16:05:00,2871.2248535156505
2022-04-25 16:06:00,2874.2398071289253
2022-04-25 16:07:00,2877.946899414025
2022-04-25 16:08:00,2878.4867553711
2022-04-25 16:09:00,2879.34271240235
2022-04-25 16:10:00,2880.66748046875
2022-04-25 16:11:00,2882.8485107422002
2022-04-25 16:12:00,2883.40759277345
2022-04-25 16:13:00,2885.7883300781505
2022-04-25 16:14:00,2889.7599487304497
2022-04-25 16:15:00,2894.82958984375
2022-04-25 16:16:00,2900.71380615235
2022-04-25 16:17:00,2898.1514282226753
2022-04-25 16:18:00,2899.25756835935
2022-04-25 16:19:00,2898.1293945312245
2022-04-25 16:20:00,2899.87060546875
2022-04-25 16:21:00,2905.1264038085747
2022-04-25 16:22:00,2907.80480957035
2022-04-25 16:23:00,2910.0133056640498
2022-04-25 16:24:00,2910.8927001953
2022-04-25 16:25:00,2910.5991821289253
2022-04-25 16:26:00,2910.6130371093495
2022-04-25 16:27:00,2910.667785644525
2022-04-25 16:28:00,2907.0468139648747
2022-04-25 16:29:00,2908.7255859375255
2022-04-25 16:30:00,2909.0802001953252
2022-04-25 16:31:00,2907.8215942382503
2022-04-25 16:32:00,2912.0013427734502
2022-04-25 16:33:00,2914.376464843775
2022-04-25 16:34:00,2916.0806884765752
2022-04-25 16:35:00,2916.699401855475
2022-04-25 16:36:00,2917.5657958984502
2022-04-25 16:37:00,2917.8923339843504
2022-04-25 16:38:00,2916.8607788085747
2022-04-25 16:39:00,2916.3688964844
2022-04-25 16:40:00,2913.9758911132503
2022-04-25 16:41:00,2914.279968261725
2022-04-25 16:42:00,2913.34173583985
2022-04-25 16:43:00,2920.82397460935
2022-04-25 16:44:00,2928.1979980469005
2022-04-25 16:45:00,2926.0066528320503
2022-04-25 16:46:00,2924.61450195315
2022-04-25 16:47:00,2922.3903808594
2022-04-25 16:48:00,2922.8124999999745
2022-04-25 16:49:00,2927.92700195315
2022-04-25 16:50:00,2931.4152832031
2022-04-25 16:51:00,2929.489257812475
2022-04-25 16:52:00,2929.4974365234248
2022-04-25 16:53:00,2929.992187499975
2022-04-25 16:54:00,2930.14111328125
2022-04-25 16:55:00,2929.7497558594
2022-04-25 16:56:00,2928.0107421875
2022-04-25 16:57:00,2924.7953491211
2022-04-25 16:58:00,2924.8106689452998
2022-04-25 16:59:00,2925.0828247069994
2022-04-25 17:00:00,2926.402160644525
2022-04-25 17:01:00,2921.7797241211
2022-04-25 17:02:00,2921.34033203125
2022-04-25 17:03:00,2922.710937500025
2022-04-25 17:04:00,2924.108642578125
2022-04-25 17:05:00,2924.2066040039253
2022-04-25 17:06:00,2923.3034667969005
2022-04-25 17:07:00,2925.2966308594
2022-04-25 17:08:00,2928.3872070312755
2022-04-25 17:09:00,2929.82421875
2022-04-25 17:10:00,2929.6266479491997
2022-04-25 17:11:00,2930.578918457025
2022-04-25 17:12:00,2934.4108886719005
2022-04-25 17:13:00,2936.7392578125
2022-04-25 17:14:00,2935.6902465820503
2022-04-25 17:15:00,2935.4723510742
2022-04-25 17:16:00,2937.29498291015
2022-04-25 17:17:00,2936.750183105475
2022-04-25 17:18:00,2935.5228881836247
2022-04-25 17:19:00,2936.14801025395
2022-04-25 17:20:00,2936.066894531275
2022-04-25 17:21:00,2935.8544921875
2022-04-25 17:22:00,2934.82592773435
2022-04-25 17:23:00,2934.27514648435
2022-04-25 17:24:00,2936.2916259765498
2022-04-25 17:25:00,2937.6258544922002
2022-04-25 17:26:00,2935.70336914065
2022-04-25 17:27:00,2931.897827148425
2022-04-25 17:28:00,2931.8176879882503
2022-04-25 17:29:00,2932.02648925785
2022-04-25 17:30:00,2933.4463500976253
2022-04-25 17:31:00,2933.495300292975
2022-04-25 17:32:00,2932.26000976565
2022-04-25 17:33:00,2929.3522949218495
2022-04-25 17:34:00,2927.049987792975
2022-04-25 17:35:00,2926.7449951172002
2022-04-25 17:36:00,2926.6915283202998
2022-04-25 17:37:00,2927.0053100586
2022-04-25 17:38:00,2926.8922119140498
2022-04-25 17:39:00,2926.424377441425
2022-04-25 17:40:00,2929.1553344726753
