date,interval_1,crypto_1,crypto_15,crypto_60,crypto_240,gold_15,gold_60,gold_240,vix_15,vix_60,vix_240,sap_15,sap_60,sap_240,trend_15,trend_60,trend_240,interval_15,interval_60,interval_240
2022-05-02 19:35:00,-213.0,2.0999984741190048,1.1880672613689285,0.3806794078227824,0.06361389453795141,0.12126170656461,-0.6104882241875202,-0.04257244786572301,-2.4359877219480452,-0.8767817318556723,-0.17134583353384158,53.331049743976564,18.227125139955206,2.4174979345334577,-0.15484636712311328,-0.18785396528131315,-0.6038972909333467,-0.013165712151732123,-0.0007564444376697566,-2.9757311168054912e-05
2022-05-02 20:47:00,28.0,-0.5999984741199995,0.04583950717918128,0.569644871439337,0.11796169731820783,0.24708092515561475,0.01980233726408187,-0.11501986220059734,-0.9969875239154575,-1.1644453797914096,-0.289013325750183,19.932900020658963,24.568954683186348,4.426901717279179,1.5091393681577543,-1.567130106078352,-1.1339752914180394,-0.027811322734194732,-0.0013373241153544768,-5.696406290667255e-05
2022-05-02 22:15:00,16.0,1.5999984741199995,1.007820432497951,0.45527134358276555,0.15018492334684197,0.971034951689262,0.5565219393845382,-0.22679111417164677,0.002944618557485512,-0.28940776662830814,-0.3325087859401137,0.0011381450840417529,6.335741287171004,5.528431643206204,-10.922768782079508,-5.244507522054143,-1.501209926028416,-0.04055941951044417,-0.002180102258691363,2.1986357424452763e-05
2022-05-02 22:57:00,-46.0,-0.8499946594199912,-0.30191389466041585,0.01974463821832728,0.06716902713405659,-0.26078428997675474,0.1807001536185453,-0.14738733344120192,0.0,-0.007477951675880945,-0.139552030796132,0.0,0.19023699979061348,2.429173015647393,0.44590417145627725,-2.4936421927126275,-0.7000391361735581,-0.05308359720709177,-0.002805947145105847,5.0709000305459995e-06
2022-05-02 23:24:00,-15.0,0.45000076293999314,0.03094021237377831,-0.062263727331810514,0.04014209193263696,-0.5627759520746167,0.13580134360267948,-0.11014397352073502,0.0,-0.0005396472177991996,-0.0812909137643274,0.0,0.01696216360960534,1.4371294880083951,-5.0869191451770845,-1.0890414545735965,-0.42763816759054407,-0.06664178730147796,-0.003531628654428687,2.274037066740675e-05
2022-05-03 00:57:00,66.0,-1.100006103520002,-0.6455301624939835,-0.22732504670591425,0.11432313226400481,2.3953003490789797,-0.08501443180102797,-0.4818381847278488,0.0,-2.8256304972273938e-05,-0.22615617854240355,0.0,0.0025002973852679133,4.031737635481477,3.307266322370417,-0.4162178337513325,-1.2476723675652295,-0.07796636282901659,-0.004054085198873736,-2.125840464373141e-05
2022-05-03 02:05:00,-25.0,1.100006103520002,0.5937406743618965,0.1439502105239825,0.05731658144910057,-4.576913029883599,-0.8956574783103406,-0.4516960794635452,0.0,0.0,-0.1161867836946513,0.0,0.0,2.015094604681508,2.316493521545077,0.9427378812276999,-0.6115820864914028,-0.08967588263281812,-0.005007882672529718,-5.9418687328616215e-05
2022-05-03 02:41:00,-32.0,-0.7500038146999941,-0.12225730935580259,0.11193928330825997,0.021421664455132827,1.674725450109463,-0.11352551317622783,-0.26560063320789595,0.0,0.0,-0.047920671041666196,0.0,0.0,0.7840690875373184,-0.30182084532575004,0.22147978007890146,-0.20142350235637707,-0.10117233783684298,-0.005844632872850752,1.3964829733481565e-05
2022-05-03 03:12:00,-5.0,0.7500038146999941,0.23467245120825453,0.06569120558860675,0.013794349858997634,1.3771133545885732,2.074741155411175e-05,-0.2367949364472679,0.0,0.0,-0.03537633258848416,0.0,0.0,0.5452336541538898,-2.6497732898073068,-0.12752108349481972,-0.10161774067518081,-0.11002536794850926,-0.0061455783144026555,-1.9976593463866266e-05
2022-05-03 04:27:00,44.0,-0.4000015258800005,-0.0635093250590586,-0.0370357631702376,0.01701792539735436,-1.1890607659834131,-1.04629615178942,-0.5624606606711495,0.0,-0.0012938487659965858,-0.06981073026940976,0.0,0.0,0.9458096481748726,0.2999819033806972,-1.1841224765384766,0.03799453304264233,-0.12118798650229223,-0.006904601740501448,2.6232396123759827e-05
2022-05-03 04:55:00,-47.0,0.4000015258800005,-0.10010555790184128,-0.06900339262948307,0.0009010803362059505,-2.7726922180936526,-0.7426345164790291,-0.18842972793800072,0.0,-0.003683476771392691,-0.02259815167781909,0.0,0.0,0.26211611018425174,-5.697447412474467,-0.25097090718975323,0.11789990081117452,-0.12819935444932185,-0.008089129845814114,1.0630844101910952e-05
2022-05-03 05:09:00,-14.0,-0.9000015258800005,-0.20033362103697527,-0.035846064521692256,-0.0005917567917919087,-0.756680852770387,-0.3701453627963929,-0.08617276447944278,0.0,-0.004061521912007038,-0.01096621186985658,0.0,0.0,0.12018343616909988,1.6274916574880365,0.012162459906441825,0.07992741305337603,-0.1345419584912264,-0.008240349854190754,-4.286122538132986e-05
2022-05-03 05:55:00,32.0,0.5,-0.029396375783491635,-0.08352885487531125,-0.006622459463130781,0.49708071939994625,-1.0768436221137563,-0.2317845709762878,0.0,-0.03647844088439456,-0.035726709744650975,0.0,0.0,0.3701953988529567,7.45170840953746,0.5238634760417682,0.3594140107158026,-0.14179457681957786,-0.008942933716184598,-1.0061012801543257e-05
2022-05-03 06:14:00,-27.0,-0.4000015258800005,-0.04371099078964846,-0.009218218391637834,-0.00478964940182891,0.3159527193909071,-0.41088311423891355,-0.06722306169876902,0.0,-0.03088860925447534,-0.015105715723095159,0.0,0.0,0.15173176476218941,-0.42968004331974896,0.2637446085235595,0.1913030031905265,-0.1449662017775779,-0.009456176976343045,-5.597786255862047e-06
